Censo;Codigo;Departamento;Poblacion;Varones; Mujeres;VivPartTot;VivColectTot;IndMasc;Superficie;DensPob
2010;6028;Almirante Brown;552902;270247;282655;156218;78;;;
2010;6035;Avellaneda;342677;162264;180413;121307;68;;;
2010;6091;Berazategui;324244;158608;165636;96029;37;;;
2010;6260;Esteban Echeverría;300959;147980;152979;88164;26;;;
2010;6270;Ezeiza;163722;81902;81820;49210;26;;;
2010;6274;Florencio Varela;426005;212909;213096;113997;51;;;
2010;6371;General San Martín;414196;198094;216102;138030;80;;;
2010;6408;Hurlingham;181241;87278;93963;55446;33;;;
2010;6410;Ituzaingó;167824;81188;86636;54370;54;;;
2010;6412;José C. Paz;265981;131291;134690;72243;27;;;
2010;6427;La Matanza;1775816;866690;909126;447371;149;;;
2010;6434;Lanús;459263;218873;240390;157887;84;;;
2010;6490;Lomas de Zamora;616279;297042;319237;188216;108;;;
2010;6515;Malvinas Argentinas;322375;159205;163170;87292;37;;;
2010;6539;Merlo;528494;259417;269077;147230;59;;;
2010;6560;Moreno;452505;224291;228214;129573;52;;;
2010;6568;Morón;321109;153129;167980;117321;75;;;
2010;6658;Quilmes;582943;281928;301015;182243;97;;;
2010;6749;San Fernando;163240;78645;84595;51926;66;;;
2010;6756;San Isidro;292878;138407;154471;107619;95;;;
2010;6760;San Miguel;276190;134584;141606;82892;57;;;
2010;6805;Tigre;376381;184774;191607;118428;54;;;
2010;6840;Tres de Febrero;340071;161806;178265;119920;88;;;
2010;6861;Vicente López;269420;125792;143628;114747;72;;;
