nam,cod_depto,anio,pob,var,muj,vivpart,vivtotal,sup,ind_masc,dens_pob,TMI,TGF,TBN,TBM,TCV,Mat1ria,Pred_LR,MAPE_LR,MSE_LR,RMSE_LR,PredRegTree,MAPE_RT,MSE_RT,RMSE_RT,Pred_RF,MSE_RF,RMSE_RF,MAPE_RF,Pred_LGB,MSE_LGB,RMSE_LGB,MAPE_LGB
General San Martín,6371,2001,403107.0,193084.0,210023.0,133870.0,114.0,68.8,91.9,5859.11,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
General San Martín,6371,1991,406809.0,196417.0,210392.0,,,68.8,93.4,5912.92,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Hurlingham,6408,2022,187122.0,89551.0,97118.0,66033.0,19.0,43.57,92.2,4294.74,7.9,1.89,9.7,8.8,0.899,1767473.0,193235,3.27,37400000.0,6113.7,181241,3.1,34586161,5881.0,,,,,,,,
Hurlingham,6408,1991,,,,,,43.57,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Hurlingham,6408,2010,181241.0,87278.0,93963.0,55446.0,33.0,43.57,92.9,4159.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Hurlingham,6408,2001,172245.0,83383.0,88862.0,51079.0,22.0,43.57,93.8,3953.29,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ituzaingó,6410,2022,179788.0,84855.0,92708.0,64175.0,37.0,46.38,91.5,3876.41,7.9,1.89,9.7,8.8,0.899,1767473.0,180761,0.54,947000.0,973.3,167824,6.7,143137296,11964.0,,,,,,,,
Ituzaingó,6410,2010,167824.0,81188.0,86636.0,54370.0,54.0,46.38,93.7,3618.46,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ituzaingó,6410,2001,158121.0,76254.0,81867.0,49232.0,44.0,46.38,93.1,3409.25,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ituzaingó,6410,1991,,,,,,46.38,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
José C. Paz,6412,2022,323918.0,157631.0,165831.0,97098.0,27.0,61.03,95.1,5307.52,7.9,1.89,9.7,8.8,0.899,1767473.0,313678,3.16,105000000.0,10239.7,265981,17.9,3356695969,57937.0,,,,,,,,
José C. Paz,6412,1991,,,,,,61.03,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
José C. Paz,6412,2010,265981.0,131291.0,134690.0,72243.0,27.0,61.03,97.5,4358.2,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
José C. Paz,6412,2001,230208.0,114134.0,116074.0,59674.0,47.0,61.03,98.3,3772.05,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
La Matanza,6427,1991,1121298.0,551408.0,569890.0,,,399.51,96.8,2806.68,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
La Matanza,6427,2001,1255288.0,612967.0,642321.0,361099.0,158.0,399.51,95.4,3142.07,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
La Matanza,6427,2010,1775816.0,866690.0,909126.0,447371.0,149.0,399.51,95.3,4444.99,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
La Matanza,6427,2022,1837774.0,883023.0,950847.0,577276.0,126.0,399.51,92.9,4600.07,7.9,1.89,9.7,8.8,0.899,1767473.0,2469853,34.39,400000000000.0,632079.3,1775816,3.4000000000000004,3838793764,61958.0,1437887.0,159909788719.32837,399887.22,21.759,1384134.0,205789249600.0,453640.0,24.684210354483195
Lanús,6434,2022,462051.0,218238.0,242328.0,179531.0,71.0,61.24,90.1,7544.92,7.9,1.89,9.7,8.8,0.899,1767473.0,467504,1.18,29700000.0,5453.3,453082,1.9,80442961,8969.0,459486.0,6579430.201599892,2565.039999999979,0.555,460302.0,3059001.0,1749.0,0.3785296428316355
Lanús,6434,2010,459263.0,218873.0,240390.0,157887.0,84.0,61.24,91.0,7499.4,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Lanús,6434,1991,468561.0,224537.0,244024.0,,,61.24,92.0,7651.22,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Lanús,6434,2001,453082.0,215215.0,237867.0,152624.0,92.0,61.24,90.5,7398.47,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Lomas de Zamora,6490,2022,694330.0,332115.0,359231.0,235524.0,13.0,108.27,92.5,6412.95,7.9,1.89,9.7,8.8,0.899,1767473.0,649524,6.45,2010000000.0,44805.7,591345,14.8,10605910225,102985.0,599412.0,9009495065.089598,94918.36,13.67,593985.0,10069185921.777786,100345.33333333337,14.452109707679831
Lomas de Zamora,6490,2010,616279.0,297042.0,319237.0,188216.0,108.0,108.27,93.0,5692.06,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Lomas de Zamora,6490,2001,591345.0,285599.0,305746.0,178916.0,126.0,108.27,93.4,5461.76,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Lomas de Zamora,6490,1991,574330.0,278877.0,295453.0,,,108.27,94.4,5304.61,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Malvinas Argentinas,6515,1991,,,,,,76.46,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Malvinas Argentinas,6515,2001,290691.0,143722.0,146969.0,74647.0,31.0,76.46,97.8,3801.87,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Malvinas Argentinas,6515,2010,322375.0,159205.0,163170.0,87292.0,37.0,76.46,97.6,4216.26,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Malvinas Argentinas,6515,2022,351788.0,170055.0,180317.0,102499.0,35.0,76.46,94.3,4600.94,7.9,1.89,9.7,8.8,0.899,1767473.0,364620,3.65,165000000.0,12832.3,290691,17.4,3732843409,61097.0,,,,,,,,
Merlo,6539,1991,390858.0,193521.0,197337.0,,,212.25,98.1,1841.5,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Merlo,6539,2001,469985.0,231543.0,238442.0,129617.0,72.0,212.25,97.1,2214.3,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
