Censo;Codigo;Departamento;Poblacion;Varones; Mujeres;VivPartTot;VivColectTot;IndMasc;Superficie;DensPob
2001;6028;Almirante Brown;515556;252454;263102;143543;88;;;
2001;6035;Avellaneda;328980;155450;173530;117200;59;;;
2001;6091;Berazategui;287913;141163;146750;81511;38;;;
2001;6260;Esteban Echeverría;243974;120110;123864;70535;26;;;
2001;6270;Ezeiza;118807;59337;59470;35207;116;;;
2001;6274;Florencio Varela;348970;174590;174380;91293;53;;;
2001;6371;General San Martín;403107;193084;210023;133870;114;;;
2001;6408;Hurlingham;172245;83383;88862;51079;22;;;
2001;6410;Ituzaingó;158121;76254;81867;49232;44;;;
2001;6412;José C. Paz;230208;114134;116074;59674;47;;;
2001;6427;La Matanza;1255288;612967;642321;361099;158;;;
2001;6434;Lanús;453082;215215;237867;152624;92;;;
2001;6490;Lomas de Zamora;591345;285599;305746;178916;126;;;
2001;6515;Malvinas Argentinas;290691;143722;146969;74647;31;;;
2001;6539;Merlo;469985;231543;238442;129617;72;;;
2001;6560;Moreno;380503;188392;192111;108521;58;;;
2001;6568;Morón;309380;147030;162350;108458;110;;;
2001;6658;Quilmes;518788;250577;268211;159329;102;;;
2001;6749;San Fernando;151131;72787;78344;46530;54;;;
2001;6756;San Isidro;291505;137430;154075;102120;84;;;
2001;6760;San Miguel;253086;123400;129686;71300;84;;;
2001;6805;Tigre;301223;148057;153166;87709;42;;;
2001;6840;Tres de Febrero;336467;159781;176686;115040;92;;;
2001;6861;Vicente López;274082;127238;146844;108947;91;;;
